codigo_ibge,municipio,latitude,longitude,bioma_predominante,corede,regiao_funcional
4321105,Tapes,-30.6683,-51.3991,Pampa,Centro-Sul,RF1
4321204,Taquara,-29.6505,-50.7753,Mata Atlântica,Paranhana Encosta da Serra,RF1
4321303,Taquari,-29.7943,-51.8653,Pampa,Vale do Taquari,RF2
4321329,Taquaruçu do Sul,-27.4005,-53.4702,Mata Atlântica,Médio Alto Uruguai,RF9
4321352,Tavares,-31.2843,-51.088,Pampa,Sul,RF5
4321402,Tenente Portela,-27.3711,-53.7585,Mata Atlântica,Celeiro,RF7
4321436,Terra de Areia,-29.5782,-50.0644,Mata Atlântica,Litoral,RF4
4321451,Teutônia,-29.4482,-51.8044,Mata Atlântica,Vale do Taquari,RF2
4321469,Tio Hugo,-28.5712,-52.5955,Mata Atlântica,Alto da Serra do Botucaraí,RF9
4321477,Tiradentes do Sul,-27.4022,-54.0814,Mata Atlântica,Celeiro,RF7
4321493,Toropi,-29.4782,-54.2244,Mata Atlântica,Central,RF8
4321501,Torres,-29.3334,-49.7333,Mata Atlântica,Litoral,RF4
4321600,Tramandaí,-29.9841,-50.1322,Pampa,Litoral,RF4
4321626,Travesseiro,-29.2977,-52.0532,Mata Atlântica,Vale do Taquari,RF2
4321956,Trindade do Sul,-27.5239,-52.8956,Mata Atlântica,Médio Alto Uruguai,RF9
4322004,Triunfo,-29.9291,-51.7075,Pampa,Metropolitano Delta do Jacuí,RF1
4321634,Três Arroios,-27.5003,-52.1448,Mata Atlântica,Norte,RF9
4321667,Três Cachoeiras,-29.4487,-49.9275,Mata Atlântica,Litoral,RF4
4321709,Três Coroas,-29.5137,-50.7739,Mata Atlântica,Paranhana Encosta da Serra,RF1
4321832,Três Forquilhas,-29.5384,-50.0708,Mata Atlântica,Litoral,RF4
4321857,Três Palmeiras,-27.6139,-52.8437,Pampa,Rio da Várzea,RF9
4321907,Três Passos,-27.4555,-53.9296,Mata Atlântica,Celeiro,RF7
4321808,Três de Maio,-27.78,-54.2357,Mata Atlântica,Fronteira Noroeste,RF7
4322103,Tucunduva,-27.6573,-54.4439,Mata Atlântica,Fronteira Noroeste,RF7
4322152,Tunas,-29.1039,-52.9538,Mata Atlântica,Vale do Rio Pardo,RF2
4322186,Tupanci do Sul,-27.9241,-51.5383,Mata Atlântica,Nordeste,RF9
4322202,Tupanciretã,-29.0858,-53.8445,Pampa,Central,RF8
4322251,Tupandi,-29.4772,-51.4174,Mata Atlântica,Vale do Caí,RF1
4322301,Tuparendi,-27.7598,-54.4814,Mata Atlântica,Fronteira Noroeste,RF7
4322327,Turuçu,-31.4173,-52.1706,Pampa,Sul,RF5
4322343,Ubiretama,-28.0404,-54.686,Mata Atlântica,Missões,RF7
4322376,Unistalda,-29.04,-55.1517,Pampa,Vale do Jaguari,RF8
4322350,União da Serra,-28.7833,-52.0238,Mata Atlântica,Serra,RF3
4322400,Uruguaiana,-29.7614,-57.0853,Pampa,Fronteira Oeste,RF6
4322509,Vacaria,-28.5079,-50.9418,Mata Atlântica,Campos de Cima da Serra,RF3
4322541,Vale Real,-29.3919,-51.2559,Mata Atlântica,Vale do Caí,RF1
4322525,Vale Verde,-29.7864,-52.1857,Pampa,Vale do Rio Pardo,RF2
4322533,Vale do Sol,-29.5967,-52.6839,Mata Atlântica,Vale do Rio Pardo,RF2
4322558,Vanini,-28.4758,-51.8447,Mata Atlântica,Produção,RF9
4322608,Venâncio Aires,-29.6143,-52.1932,Mata Atlântica,Vale do Rio Pardo,RF2
4322707,Vera Cruz,-29.7184,-52.5152,Mata Atlântica,Vale do Rio Pardo,RF2
4322806,Veranópolis,-28.9312,-51.5516,Mata Atlântica,Serra,RF3
4322855,Vespasiano Correa,-29.0655,-51.8625,Mata Atlântica,Vale do Taquari,RF2
